artist_name,artist_id
广智,2871
GrymeMan,975574
恭硕良,2890
歌浴森,2945
郭力,30472245
葛笑,12073830
关贵敏,2899
高华阳,12274269
嘎玛西周,905095
高韶青,2960
Gordon扬豆仔,908209
GIGEL张津铭,13059434
关栋天,3031
华晨宇,861777
胡彦斌,3066
胡歌,3064
黄旭,12065096
河图,3249
Hanser,1049179
韩安旭,1177014
RA,12598950
胡夏,3273
郝云,3071
黄义达,3063
回音哥,3348
黄凯芹,3073
何野,30471284
后弦,3058
霍尊,3415
黄品源,3079
黄子韬,1025202
黄明志,3256
海来阿木,13159024
黄勇,3421
胡伟立,3081
韩磊,3072
黑龙,3118
海鸣威,3086
黑羊,1011192
韩庚,3272
洪尘,1006030
韩沐伯,12773144
黄雨篱,1081579
胡碧乔,1049349
黄霑,3059
黄玠,3070
黄艺明,3337
洪楗华,3224
黄榕生,12488022
何流,839761
黄安,3082
黄渤,3255
黄晓明,3094
韩寒,3085
胡鸿钧,3330
浩纹,12915311
黄礼格,1019154
晃儿,3307
黄新淳,13059437
贺一航,3181
霍建华,3120
海生,3311
胡蒎,12598388
何炅,3090
黄英华,3322
黄宗泽,3126
黄征,3093
Ghayrat Mahmut,1081917
黄家强,3116
何东东,13059435
洪雨雷,12487019
何柏诚,12379051
浩天,1182797
黄贯中,3080
火火兔,13972353
黄阅,3121
呼斯楞,3259
Howie Lee,94064
何润东,3112
何崇志,3378
火风,3250
何大河,1181165
胡兵,3162
洪启,3069
何星烁RapStar,1039086
侯明昊,12073309
何石,30617412
黄大炜,3068
胡德夫,3056
贺西格,3096
黄鹤翔,3166
黄国俊,3123
何晟铭,3276
何训田,3075
侯旭,3146
黄秋生,3076
韩毅,12458021
黄立行,3065
涵昱,1006027
黄磊,3061
慧普法师,3210
和弦,1081256
黄平,3424
前后动机直升机组合,1068009
何勇,3055
何鹏,3362
Jason Huang,1050409
韩雍杰,13056444
胡一天,12796041
海哲明,3408
黄书豪,13056448
灰原穷,3317
荷叶,12727068
ilem,11975111
Iceloki,1132544
iMoon,1038374
impossibleChuck,11987075
InfiniteMusic,956418
iCsuo,1047333
Isaac Yong,31524954
imeatART,900332
I N K 本墨导窒,133386
ilham丁丁,1039978
iimmune,1083022
IANNE,1039395
ibinbao,1031042
ianbird 吴冠亨,28085491
Inbellum,820494
"I,Defiance",1000135
iiiis,3438
Ian Yu,28390292
illusory李虚无,29356237
ins白日说唱家,13738116
IL CANTO,13707529
Imc王辰,12263528
Infernal Chaos,13430213
Izumi koga,1161208
Ilya Ai Wei,1050737
